Layer name,Layer Type,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Stride Height,Stride Width,IFMAP Source,Filter Source,PE,Dataflow
Attn_Xmap,0,1,8,1,1,1024,1024,1,1,-1,-1,0,os
Attn_Kmap,0,1,8,1,1,1024,1024,1,1,-1,-1,0,os
Attn_Vmap,0,1,8,1,1,1024,1024,1,1,-1,-1,0,os
Attn_XxK',0,1,8,1,1,1024,8,1,1,0,1,0,os
Attn_SFMXxV,0,1,8,1,1,8,1024,1,1,2,3,0,is
Attn_Concat_map,1,1,8,1,1,1024,1024,1,1,4,-1,0,os
FFN1,0,1,8,1,1,1024,1024,1,1,5,-1,0,os
FFN2,0,1,8,1,1,1024,8,1,1,6,-1,0,os
